yakub	128 1,128 3
yarlagadda	103 1
yawm	100 1
year	96 1,109 4,110 2,112 1,114 1,115 1,116 1,119 1,128 2,131 1,82 1,90 2
years	110 1,109 2,113 1,104 2,122 1,123 1,124 1,131 1,82 1,97 1
yellow	100 1,167 1,94 2
york	117 1,114 1
young	101 3,122 1,129 1,83 2
youth	108 1
you�ll	97 1
yuan	82 4
yummy	111 1
yusuf	128 1
